index,Value,Tag
2022-09-03 00:45:00,72.67,BI-RUI-C009LD
2022-09-03 01:00:00,70.88,BI-RUI-C009LD
2022-09-03 01:15:00,68.34,BI-RUI-C009LD
2022-09-03 01:30:00,65.22,BI-RUI-C009LD
2022-09-03 01:45:00,61.92,BI-RUI-C009LD
2022-09-03 02:00:00,59.51,BI-RUI-C009LD
2022-09-03 02:15:00,56.66,BI-RUI-C009LD
2022-09-03 02:30:00,62.25,BI-RUI-C009LD
2022-09-03 02:45:00,50.58,BI-RUI-C009LD
2022-09-03 03:00:00,44.26,BI-RUI-C009LD
2022-09-03 03:15:00,57.58,BI-RUI-C009LD
2022-09-03 03:30:00,64.47,BI-RUI-C009LD
2022-09-03 03:45:00,55.92,BI-RUI-C009LD
2022-09-03 04:00:00,59.09,BI-RUI-C009LD
2022-09-03 04:15:00,41.7,BI-RUI-C009LD
2022-09-03 04:30:00,41.7,BI-RUI-C009LD
2022-09-03 04:45:00,41.7,BI-RUI-C009LD
2022-09-03 05:00:00,50.41,BI-RUI-C009LD
2022-09-03 05:15:00,41.7,BI-RUI-C009LD
2022-09-03 05:30:00,,BI-RUI-C009LD
2022-09-03 05:45:00,47.28,BI-RUI-C009LD
2022-09-03 06:00:00,41.7,BI-RUI-C009LD
2022-09-03 06:15:00,41.7,BI-RUI-C009LD
2022-09-03 06:30:00,41.7,BI-RUI-C009LD
2022-09-03 06:45:00,44.95,BI-RUI-C009LD
2022-09-03 07:00:00,44.27,BI-RUI-C009LD
2022-09-03 07:15:00,67.37,BI-RUI-C009LD
2022-09-03 07:30:00,44.79,BI-RUI-C009LD
2022-09-03 07:45:00,55.11,BI-RUI-C009LD
2022-09-03 08:00:00,67.3,BI-RUI-C009LD
2022-09-03 08:15:00,51.93,BI-RUI-C009LD
2022-09-03 08:30:00,47.28,BI-RUI-C009LD
2022-09-03 08:45:00,57.71,BI-RUI-C009LD
2022-09-03 09:00:00,56.0,BI-RUI-C009LD
2022-09-03 09:15:00,53.37,BI-RUI-C009LD
2022-09-03 09:30:00,56.86,BI-RUI-C009LD
2022-09-03 09:45:00,57.59,BI-RUI-C009LD
2022-09-03 10:00:00,56.2,BI-RUI-C009LD
2022-09-03 10:15:00,60.72,BI-RUI-C009LD
2022-09-03 10:30:00,57.29,BI-RUI-C009LD
2022-09-03 10:45:00,60.08,BI-RUI-C009LD
2022-09-03 11:00:00,59.79,BI-RUI-C009LD
2022-09-03 11:15:00,63.7,BI-RUI-C009LD
2022-09-03 11:30:00,56.92,BI-RUI-C009LD
2022-09-03 11:45:00,75.66,BI-RUI-C009LD
2022-09-03 12:00:00,60.36,BI-RUI-C009LD
2022-09-03 12:15:00,60.04,BI-RUI-C009LD
2022-09-03 12:30:00,63.09,BI-RUI-C009LD
2022-09-03 12:45:00,61.7,BI-RUI-C009LD
2022-09-03 13:00:00,63.38,BI-RUI-C009LD
2022-09-03 13:15:00,62.19,BI-RUI-C009LD
2022-09-03 13:30:00,64.95,BI-RUI-C009LD
2022-09-03 13:45:00,66.34,BI-RUI-C009LD
2022-09-03 14:00:00,63.51,BI-RUI-C009LD
2022-09-03 14:15:00,61.64,BI-RUI-C009LD
2022-09-03 14:30:00,62.19,BI-RUI-C009LD
2022-09-03 14:45:00,65.48,BI-RUI-C009LD
2022-09-03 15:00:00,69.14,BI-RUI-C009LD
2022-09-03 15:15:00,66.56,BI-RUI-C009LD
2022-09-03 15:30:00,69.04,BI-RUI-C009LD
2022-09-03 15:45:00,65.07,BI-RUI-C009LD
2022-09-03 16:00:00,67.41,BI-RUI-C009LD
